story,amountRaised,goal,url,campaignTitle,numberContributors,endDate,currencyType
"Let the guy have ONE
        ""normal"" trait (he probably thinks this
        message is green) WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",349,of $349 goal,https://fundrazr.com/61LBd6,"Help Adam ""See Normal"" for His Birthday",6,,U.S. Dollar
"Thank you for taking the time to visit this page in honor of Jake. 
  The Conde family is extremely grateful for each and every one of you.
    The saying "" It takes a village"" is definitely true in
  this situation. How does a family properly thank someone for the
  things that they have done to help out during difficult times?  You
  need to know how much all the prior well wishes, positive thoughts,
  prayers, donations, helping with meals, helping out with Lucas, gifts
  for Jake, time spent together, and friendship has meant to the Conde
  family - THANK YOU! Here we go again... Where do I even begin?  Honestly, it's really
  difficult to gather thoughts, considering so much has gone on the past
  77 weeks.  As most of you know, Jake was diagnosed with Ewing's
  Sarcoma in his left femur bone in April of 2015, when he was 9 years
  old. To keep it short, it was a very long year with many nights in the
  hospital, multiple biopsies, surgeries, chemo, lab/diagnostic testing,
  physical therapy etc.  It was a nightmare, but they got through it -
  or so they thought.  Shortly after his year long cancer treatment
  ended, Jake started having pain in his shoulder and losing weight, so
  they took him in for testing.  Then came the devastating news, which
  was even worse than the first time around.  Not only was his cancer
  back, they were told that Jake had 6 metastatic tumors. Cancer sucks!
  Sarcoma sucks! Many of you have emailed or left messages for Steph, Roger, and
  myself asking what you can do to help. First and foremost, for those
  of you who pray, please keep Jake in your daily prayers.  Jake has a
  birthday coming up, he turns 11 on October 22nd.  If you would like to
  send him a card or write him a note, you can mail it directly to his
  home, or contact me (my number is below) for more information. For
  those of you who would like to make a small donation, that would be
  great too. I know that they are spending thousands of dollars out of
  pocket each month. Currently Jake has had five in-patient chemo treatments (each 5 days
  long), and goes back in on Monday 10/17 for his sixth treatment.  A
  recent scan showed only 2 of his 6 tumors as active - this is good
  news!  The current plan is to give Jake 18 months of chemo - that's
  the bad news!  The chemo is taking a toll on him, the drugs are very
  hard on your body, it's been tough! In addition to chemo, the Conde family strongly believes in an
  alternative and holistic approach this time around; they believe
  that the chemo alone will not cure their son.  Jake is eating all
  organic and non-gmo foods, using essential oils, cannabis oil,
  juicing, drinking alkaline water & special teas, taking
  supplements... You name it, they're doing it! What the Conde family is going through is impossible to comprehend. 
  We've watched Jake go from being such a happy, funny, spirited
  child who was so full of life, to fighting for his life. What are the
  days during chemo and just after chemo like for them now?  At times
  Jake is screaming/crying in pain, has anxiety/fear of upcoming
  procedures/testing, vomits throughout the day, spends most of the day
  on the couch or in bed with no energy, is up sick most of the night,
  feels depressed, angry, and lonely at times. It stinks! It's really
  tough to see him/them go through this!  Roger and Steph are up around
  the clock caring for Jake, it's 24/7!  But, they continue to stay
  strong, believe in miracles, and have hope!  Losing is not an option! During Jake's first year of treatment Jake watched a lot of Adam
  Sandler movies in the hospital, Stephanie and Roger expressed how
  those movies helped them get through the awful hospital stays. 
  Laughter soothes the soul!  If you have any really good funny movie
  suggestions that are appropriate for an 11 year old, please make suggestions. The best therapy for Jake and family right now is for them to get out
  of the house (when Jake is feeling well), or to have company; they
  love to be around friends and family every chance they get. Even if
  it's for a short time.  Don't be afraid to reach out! We are all thankful for every minute, hour or glimpse of happiness
  that Jake feels. When he smiles, we all smile! Thank you for your concern and continued support. Video Links below: UCLA Video: https://www.uclahealth.org/Mattel/jacob-conde Let the good times roll video... https://youtu.be/oZ6ObJB04zY For more information on Ewing's Sarcoma click the following links: http://www.webmd.com/cancer/ewings-sarcoma http://www.webmd.com/cancer/tc/ewing-sarcoma-treatment-pdq-treatment---health-professional-information-nci-ewing-sarcoma-recurrent-tumors Angie (310) 704-1447","11,225",of $2.5k goal,https://fundrazr.com/HelpingJacobConde,Helping Jacob ~ Ewing's Sarcoma Sucks!,88,,U.S. Dollar
"I am Michael Maberry's wife, we have been married for 5 years
    in October and friends for 6 years. Michael has worked since he was
    14. He had a great work ethic and worked not only his full time job
    but numerous side jobs. He was a mechanic and
    painter a nd his main career was for 30+years as a
    Manager and District Manager in the Grocery field. In September 2015 his life was changed forever. As he was
    closing at his new job for the night, two armed men came in and
    robbed the store. He was beaten for over 20 minutes against the safe
    and with the handgun. Michael has had both knees operated on due to
    being slammed to the floor numerous times. He now has black out
    seizures, some are in the brain and many of the seizures are Grand
    Mal. In April of this year I came home to find him in a continual
    seizure episode. He was hospitilized and in ICU. His hospital stay
    ran for a week and I lost income due to having to stay with him. His
    diagnosis is TBI, PTSD and 80% loss of hearing on his left side (we
    are awaiting surgery on that issue); he will never be able to work
    according to his Doctors and he is unable to drive so, we have to
    pay for his rides to therapy, Doctors visits etc. Our medical bills are mounting and there has been no place to
    go for needed items. We have applied for his SSD but they are in the
    hearing stage which can be another 18 months. We have monthly
    expenses for monitors to keep him safe, and the loss of his income
    has left us with no savings and behind on bills. We have filed for
    everything under the sun but we are still waiting, with no end in
    sight. Our needs are to pay his medical bills, maintain payment on
    his fall detection monitor, get him a new cane and pay for the
    numerous supplements that he has to take. If all bills get paid with
    this campaign, I'd also be exlploring hyperbaric treatment; studies
    have shown tremendous results with traumautic brain injury.We are
    optimistic with quality care and less stress that he will be able to
    maintain living safely in our home.","5,460",of $15k goal,https://fundrazr.com/michaelmaberryshealthfund,Please Help Michael Maberry a Victim of Assault,54,,U.S. Dollar
"My name is Erik and I want to give my
    father the gift of colour My father's parents discovered that
      he was colour blind when he had trouble finding a red ball playing
      outside on the lawn. Years later I would help him solving puzzles
      that did not take into account colourblindness in their design,
      help describe colours in the shop, and navigate the various colour
      markers on maps. Recently, I learned about Enchroma
      and I feel that this would be the perfect gift. More so because we
      now live in different countries and it would be great to surprise
      him and make our time together that much more worthwhile. We will
      be meeting on a trip abroad in June and I would love to enhance
      this experience with colour! I have never tried crowdfunding
      before but I'm hoping to give this a shot and be able to give my
      father an amazing gift! Can we do it in slightly over 30 days? I
      think we can! Please help me in achieving this small dream :) WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",350,of £350 goal,https://fundrazr.com/project-enchroma,Let's surprise my father with Enchroma!,18,,Pound Sterling
"Help My Kids To See Color! I am a mother to three amazing
      boys. Life hasn’t always been easy for them. Carlton and Zachary
      lost their father when they were 15 months old and 1 month old.
      They have struggled through many ups and downs. Carlton has always
      been healthy and has always struggled with knowing all the amazing
      colors he is missing out on! Zachary has had many health issues
      and just finished up having his third eye surgery! My boys have
      seen numerous videos of people receiving these awesome glasses and
      they have cried joy for the recipients! I want to be able to bless
      my kids with the joy of color! I want to be able to make one of
      those amazing videos and change their lives! Carlton needs
      prescription glasses which are more expensive then the ones
      Zachary would need. Please from the bottom of my heart help our
      boys see color!!! WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",125,of $700 goal,https://fundrazr.com/11J0Yc,Help my kids see the beautiful world!!!,4,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",560,of $600 goal,https://fundrazr.com/b1L5O9,Help me get Enchroma glasses  for Mike. Thank you.,10,,U.S. Dollar
"Sebastian Major is 16 years old. He is a loving, caring young man who
  enjoys reading, video games, hanging out with his friends, and, like
  most kids, fighting with his brother and sister. In October 2011, Sebastian was diagnosed with Stage IV
  Neuroblastoma, a cancer that starts in the nerve cells, and is rarely
  found in children over the age of 4. He is nearing the end of a long,
  difficult road. His initial treatments were at St. Louis
    Childrens. He has endured 6 rounds of high-dosage chemotherapy, a
    bone marrow transplant, 18 bone marrow biopsies, a major surgery to
    remove a large mass from his abdomen, and countless tests and scans.
    He had 2 rounds of mibg radiation therapy in Cincinnati, OH, and 40
    rounds of palliative radiation at Carle Hospital in Champaign, IL.
    He also received treatment at Comer Children's Hospital in Chicago,
    where he had a team of oncologists who specialize in Neuroblastoma.
    We were unable to improve his disease. In July 2014, following
    complications due to chemo, Sebastian decided to stop treatment.
    He's been on hospice care ever since then.","4,560",,https://fundrazr.com/BastianHope,Hope For Sebastian,,,
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",395,of $349 goal,https://fundrazr.com/e1LOK0,Help me give my son the gift of color,5,"Aug 16, 2018",U.S. Dollar
"A Message from Maria ... When I picture my friend Col, I envision light—a beautiful, warm,
  loving light. Her aura glows with this willingness to understand and empathize. That’s one of the reasons why this disease she has been battling is
  so difficult for me to come to grips with. It seems to be literally
  eating away at the insides of her physical body, and yet her mind and
  her spirit still keep glowing—still keep pushing on—despite the daily
  obstacles she faces. Col does not like to complain so she doesn't want us to list all of
  her symptoms, which are many. When you see her smiling and laughing
  with you, she's doing it amidst great pain and discomfort. Often it
  feels like she's dying. A number of her doctors don't take insurance and need to be paid out
  of pocket (just one office visit can cost $600!) and the treatment
  they prescribe is also not covered by insurance. She has been sick for
  numerous years so you can imagine the toll that that takes. Her illness is not something you'd know about unless you are close to
  her. But it's very serious and it severely impedes her quality of
  life. And her closest friends and family are very concerned— *We want her to be with us for years to come!* Please join me in doing what you can to help Col win this war within
  her body and pave her road to healing. A Message from Sue Elliott ... Have you ever met somebody — even online — and instantly loved that person? I’m not talking about lust. I’m not even talking about appreciation. What I mean is some sort of deep, soul-level recognition. A
  feeling like “home,” like “It’s so good to see you again after all
  these years! I do so adore you!” That’s how I felt about Col the first time I saw her photo and
  read a comment she had posted online in a business-oriented group
  years ago. Since then, I’ve gotten to know Col “better,” and I still have
  that same feeling. She’s like a cross between an angel, a friend and a sister! We have amazing conversations in which we both let go of all
  kinds of “stuff” that no longer serves us and we experience huge AHA moments! If you had asked me a year or so ago how I felt about Col, I
  would have told you that she’s a dear, dear friend, at the very least. And yet, as close as we had gotten on so many levels, I
  had NO idea that Col was often in severe physical pain. Not only does she not complain about pain, she’s so genuinely
  joyful and inspired and inspiring, it never dawned on me that she
  could be anything but energetic and “healthy.” Her very being exudes well-being! Col wrote a beautiful blog post that illustrates her approach to
  life and living, even in the midst of pain... even in the midst of
  illness. Please take a couple minutes to be inspired by the beauty of
  Col’s approach to — and dance with — life: Dancing in the Rain . Throughout the pain and the illness, Col has been giving to
  others in the most magnificent way. She created a FREE program called Magical Medical Mystery Tour , in which she
  interviewed amazing healers of all kinds. She created a forum in which
  these experts shared their wisdom freely with anyone who cared to
  participate. The gift of these interviews continues to unfold within
  me and, I’m sure, within all who were game for the adventure. So when Col told me that she now has one or two Western medical
  doctors for EACH of her organs! —and as much as she loves and
  appreciates them, Western medicine doesn’t seem to be working for her
  particular illness — I didn’t have to ask if she had tried natural and
  alternative healing modalities. I knew she had — with joy and
  enthusiasm and insight ... And yet, her body still has more to say — more insights to
  reveal — and it wants to reveal those insights and that wisdom through
  biological medicine. Col has received many “nudges” from the universe
  pointing her in that direction — and this is a woman who KNOWS how to
  listen to and dance with the universe. Like all great dances, it’s a two-way experience. There is
  giving and receiving. And there is constant expansion. One of the most obvious — and magnificent — benefits of this
  expansive dance with the universe and with pain and illness has been
  creativity. Everything that Col learns and experiences goes deep
  within her being and comes out as ART! Art with spirit. Art with soul. Art with purpose. And art that
  is infused with the energy of healing and a return to balance and wholeness! If you feel inspired, I encourage you to listen to your soul.
  Listen to your body. Listen to your inner response to Col’s artwork.
  And if something resonates deeply within you, please purchase it. Not only will you be bringing something beautiful and powerful
  into your own home or office, you will be helping to make Col’s dream
  come true, the universe-directed dream to receive biological treatment. I know I will be buying several pieces of Col’s work for myself
  and to give as gifts. And I know I will not be alone. Col is so loved
  by so many! Sue Elliott Founder/Editor-in-Chief of Law of Attraction Magazine www.LovingMyself.com .................................................. Here's what your donation will be used for .................................................. Phase One: $6,000 Address heavy metal poisoning, remove mercury amalgams,
    including exam, testing, IV, conscious sedation, post-op meds and at
    least a full year of chelation (then retesting and more chelation,
    if required). Phase Two : $36,000 Research-based holistic treatment plan prescribed by an
    M.D. who specializes in complex illness and an extensive stay at a
    treatment center like Paracelsus or The American Center for
    Biological Medicine including testing, treatments and medications. Ongoing: Life! Col has been unable to continue working and has needed to
    instead focus on her healing so your support will enable her to
    create the space to do this. Thank you! .................................................. PS: Contribute any amount you like. Just click the sunny-orange
  ""Contribute"" button on the upper right or the
  ""Contribute"" link below. Either choose a perk or select
  ""No thanks, I just want to contribute"" to type in a
  customized dollar amount. Thank you for helping!","8,396",of $42k goal,https://fundrazr.com/HelpColHeal,Road to Healing: Help Col with treatment and life!,81,,U.S. Dollar
"Hello! My name is Yvonne Foong, I was diagnosed with Neurofibromatosis type
  2 when I was 16 years old with hearing and vision damaged. It causes
  tumours to grow anywhere in my brain, along with the spinal cords and
  peripheral nerves. So far I have had 20 different surgeries to safely
  remove the tumours whenever needed to preserve my life. In the end of 2017, I need to undergo surgery again to remove
  multiple large tumours called schwannoma from both my arms. They have
  made my fingers and hands increasingly numb. If they are not carefully
  removed, they can paralyze my arms. I cannot become incapacitated, my mother will be helpless if I lose
  the ability to take care of myself. Last year, I had brain surgery at
  the US NIH, the surgery was done well. However, I was not taken cared
  of well in the ward. My vision became damaged as a result, I have had
  to adapt by getting help from people to do my work and in order to
  stay productive, while my mother started having to prepare my daily
  living needs despite her advanced age.  So I must go for surgery with
  doctors who can do better to save my arms before it is too late. Some brief details about the surgery: Where: St Vincent Medical Center, Los Angeles. By Who: Dr. Gregory P Lekovic, Neurosurgeon. For Malaysian supporter, you may contribute to my local bank account: Name:  Foong Ming Niang Public Bank Berhad:  6887203135 or you may also watch the video below to understand my family
  background and why I must preserve my ability to live independently. http://www.worksofgratitude.com/iv.html Thank you Yvonne Foong","10,282",of $17.3k goal,https://fundrazr.com/savemyarm,Please help to save Yvonne,113,"May 20, 2018",U.S. Dollar
"Yesterday (April 24) my mom had a heart attack and was
    transported to CAMC which is 2 1/2 hours away. They will be doing a
    cardiac catheterization today (April 25) and be putting in a
    pacemaker. We will not know what other interventions(surgery) will
    be needed until the catheterization is done. We are all very scared and cannot stand the fact that she is
    having to go through this without her support system by her side. We
    are a very closeknit family and this whole situation is
    heartbreaking for us all. We do not have a vehicle reliable enough to make the trip and
    our finances are extremely limited. We need to rent a car and we
    also need money for gas and meals. Every single cent is appreciated
    more than you can ever imagine. We thank each and every one of you
    from the bottom of our hearts for helping us. Bless you all!","1,070",of $1k goal,https://fundrazr.com/41Lg38,Please help me stay with mom at CAMC,13,,U.S. Dollar
"WHAT IS ENCHROMA? Over 300 million people worldwide are affected by red-green color
  vision deficiency, also called color blindness. Enchroma has created
  glasses which enhance color vision without the compromise of color
  accuracy. Enchroma glasses are an optical assistive device; they are not
      a cure for color blindness. Results vary depending on the type and
      extent of color vision deficiency per individual. The glasses are
      estimated to be effective for 4 out of 5 cases (80%) of red-green
      color vision deficiency – prospective users are encouraged to take
      our online color vision test to assess the likelihood of efficacy. Enchroma does not
      endorse use of the glasses to pass occupational screening tests
      such as the Ishihara test. For more information please read the FAQs , learn about the Enchroma technology and story , or contact customer support . Check out these reactions",245,of $538 goal,https://fundrazr.com/EnchromaGlassesForPaulina,Help Paulina get Enchroma glasses,7,"May 19, 2018",U.S. Dollar
"I ask for your support to fund our 2nd trip to Haiti in
          November to continue this important research and documention. abilityhaiti is a collaborative international-Haitian
      project to understand and document disability in Haiti to help
      enhance the lives and reduce the suffering of the most vulnerable
      - persons with disabilities . Our two previous crowdfunding campaigns exceeded our goals
      through generous support and donations both on this site and
      off-line. The first helped get us started by funding travel,
      accommodation, security and expenses for our photographer, Scott
      Doubt, and I, this May . The 2nd is still paying for costs
      to produce and distribute content from that trip - stories, video
      interivews, photographic essays, articles, and for developing
      social media and web channels to grow awareness and encourage
      engagement. We also are so fortunate to have many professional
      volunteers who have contributed invaluable expertise to the project. Y ou can follow fresh stories and reports as
      they are produced on Facebook and Youtube . Our goal of $5,000.00 for this campaign is higher
      and more ambitious to address the additional expenses for
      including a volunteer videographer (along with a photographer) on
      our November trip. We hope that you  will also help by raising
      awareness and increasing support for abilityhaiti among your networks. It will
      take all your help to grow a larger supporter base as the project
      grows and produces more outcomes.  By investing your support from
      the beginning, you will be contributing to the sustainability of
      this continuous multi-media documentation. Life is hard in Haiti, even with incremental progress
  since the earthquake of 2010. Yet, Haitians are the most wonderful,
  resilient and proud people. Living with a disability in a developing country is
  often a brutal struggle. Yet, those I've met are among the bravest,
  most beautiful people I know. Thank you for your support.","2,174",of $5k goal,https://fundrazr.com/619m45,Telling the story of Haitians with disabilities.,21,,Canadian Dollar
"The past month has been the most excruciating I have ever known but
  within it has been Jaspers fight for life. Each day of the first 3
  weeks had presented numerous challenges both large and small and he
  has shown thus far that he is meeting them. He is now physically stable. Jasper suffered a major seizure the evening of 2/12/16. The
  severity of which has left him with anoxic brain injury (this is
  similar to a stroke). The complexity of this condition and the
  complete unknown aspect of what lies ahead in terms of recovery is
  what is being faced at this time. Jasper has weathered the
  'neurological storms' that came upon him as a result of this injury.
  These were very severe and difficult to bear. Doctors stated that
  these ""storms"" could last days, weeks, years or never cease.
  The absolutely wonderful news is his neurological storms have subsided
  after less than a month and he has been slowly awakening from this state. He has begun to move both legs, move his eyes ( visual
  tracking) and to turn his head. Very positive steps forward. He
  responds to touch and stimuli and a few times- though not yet
  consistent-we saw a smile......it was beautiful to see! Julianne, Jasper's mom (03/29/16) What we do know is that his recovery is going to be a long
  road. He is facing years of rehabilitation, initially in a
  facility equipped to deal with rebuilding his physical  and cognitive
  abilities. This is going to be costly and we need your help . Your generous donations will be
  used to ensure that Jasper is able to get the care he needs to reclaim
  his life.","54,425",of $200k goal,https://fundrazr.com/f17Vw9,Jasper's fund,535,,U.S. Dollar
"This year my dad will hit the big 5 0 and I want
  it to be one for him to remember! I ask that everyone who can and
  wants to be apart of this big day please donate. Whether it's 1$ or
  50$ anything helps! On July 22nd, 2018 it will have been 50 years my
  dad has gone through this world without seeing the colors that
  everyone else takes for granted! The beautiful sunrises and the breath
  taking sun sets with their immaculate shades or oranges, reds and
  yellows! I want my dad to experience that! I want him to see what he
  gave me the gift of! He deserves this in more ways than one! So
  please! I ask you to contribute anything you can, this precious moment
  will live on forever!",250,of $400 goal,https://fundrazr.com/71KB8d,Help dad see color for the first time in 50 years,4,"Jul 23, 2018",U.S. Dollar
"Zachary Branson was born with a liver disease known as biliary
  atresia. The main procedure that was performed is known as a Kasai
  portoenterostomy. This operation connects the bile drainage from the
  liver directly to the intestinal tract. Success of this procedure may
  be improved when it is done before an infant is 8 weeks old. The Kasai
  procedure is helpful because it permits bile to flow and can allow a
  child to grow and remain in fairly good health for many years. It is
  important to understand that this surgery is typically a treatment for
  and not cure of biliary atresia. Ongoing liver disease is likely to
  continue to occur even with a successful operation. Up to 80 percent
  of children who undergo the Kasai portoenterostomy will eventually
  need to have a liver transplant. Doctors warned that Zach would not
  live past the age of 2 years old. Now at 30 years old, Zach has
  surprised the medical community. He has gone through quite rough times
  in his life growing up with this disease. His mother passed away in
  2006 from liver and kidney failure due to alcoholism. Zach cannot work
  a ""normal"" job anymore due to complications that arise from
  this disease. He is currently in the process of fighting for
  disability. The application status is pending. We are asking to share
  this page with everyone you know. Encourage your loved ones and
  friends to become an organ and tissue donor. If you have been blessed
  enough in life to allow yourself to make a donation to this brave,
  strong young man it is greatly appreciated. All funds raised will be
  used for basic living and medical expenses for Zach in his time of
  need. All help is greatly appreciated. Thank you ALL. <3 The following is Zach's ""Facebook Group"" where he shares
  all kinds of information on natural health. The Files section is loaded with
  published, peer-reviewed journal articles. Liver and Biliary Atresia - Natural
    and Probiotic Treatments The following id the Biliary Atresia co-authored by Zach's kasai
  surgeon Dr. John R. Lilly. Dr. Lilly was one of a handful of doctors
  that were personally trained on the Kasai procedure by Dr. Mario Kasai himself. Biliary Atresia Registry 1976-1989","5,448",of $15k goal,https://fundrazr.com/ZachBranson,Zach Branson's Medical Fundraiser,38,,U.S. Dollar
"Helping “ OUR HERO ”... Theresa Brainard Our DEVOTED family member and AMAZING friend to many, is
    currently recovering from foot surgery, as well as five shoulder
    surgeries, and will shortly face a total knee replacement. Being
    unable to work during this difficult time, we all know the financial
    strain it can cause. So please, come out in support of a woman that
    we all know has supported each and every one of us!!! “Our Family”, Our Friend”, “ OUR HERO !!!” Theresa Brainard Please join us Saturday June 2nd, 2018 @ Famous Tim’s Tavern from
  7-9pm @ 5 Polly Drummond Shopping Center Newark, DE Tickets: $20 per person/ includes beer & pizza 50/50, Chinese & Silent Auction!!! Stay tuned for previews!!! 100% of proceeds to assist with Theresa’s medical cost!!! Contacts: aleciagharrar@gmail.com ( Alecia) brainard1@comcast.net (Rose) 302-999-0098.                   (Geri) pearljamfan_44@hotmail.com (Jill)","1,070",,https://fundrazr.com/f1LlX5,Helping “Our HERO”...Theresa Brainard,,"Jun 3, 2018",
"DONATE As
  much or as little as you can - It will all help and it all matters to Jack! ""All"" funds will be used to offset any treatment costs not
  covered by medical insurance and to help Jack and his family manage
  additional financial concerns such as ancilliary bills/expenses
  related to his care and potential loss of income while he is being
  cared for. 100% of any funds left over will be donated to a child cancer
  (Neuroblastoma) charity - to continue the fight for other children. GO VIRAL! Share this page with as many people as you can! By ""Going Viral"", you will radically increase the odds of
  Jack getting the help that he needs. There are many good people out
  there that may care enough to help - we just have to let them know
  that they can - and that it will make all the difference! MY THOUGHTS While our world has been so harshly upended, I will also tell you
  that I believe, in my heart of hearts that HE WILL get through this! Though Jack's life has suddenly become a life of hospitals & of
  change, that he has demonstrated resilience, courage & a tolerance
  for his situation that most likely, you or I could not. He is a little
  trooper who has still not lost his goofball nature! Love always, Amanda aka Mom","4,557",of $100k goal,https://fundrazr.com/friends-of-jack,Jack Friends Against Cancer - ACT NOW!,56,,U.S. Dollar
story,amountRaised,goal,url,campaignTitle,numberContributors,endDate,currencyType
"On May 15th, 2017 I was in an ATV accident resulting in a surgery to
  place a plate and screws into my leg. On July 1st a severe bone
  infection was discovered and treatment with IV antibiotics began. I
  was then transported from a hospital in Pagosa Springs, CO to San Juan
  Regional Medical Center in Farmington, NM. Since my initial operation
  on May 15th, she has had 9 operations and will have at least 3 more. The first was to clean the wound. The second was a follow-up surgery
  to ensure maximum cleanliness. After a couple of days, the doctor
  noticed a blister that forming on my wound so he preformed another
  operation. This time, to remove the plate and 8 screws that had gotten
  infected. The doctors later found that my bone had started getting
  infected where the hardware was initially placed so they performed
  another surgery to put an antibiotic rod in her bone meant to treat my
  inner bone infection. The last 9 months have been some of the most physically painful days
  I’ve ever had to face to date and I will need additional surgeries to
  get a bone graph and to remove this external fixator that I currently
  have on my right leg. I will have to wear this fixator for 8 more
  months to ensure my leg heals correctly. It has been painful both
  mentally and physically. This would've been my 8th year as a wildland firefighter, which is a
  major source of my primary income. I am and be unemployed until my
  recovery is complete. The monies being raised are to assist my family with gas, food, and
  lodging as they travel three hours each way to and from Dulce, NM to
  Albuquerque, NM for additional appointments as well as surgeries. They
  will also assist myself with bills as I am unable to work during my
  recovery period. I am a member of the Jicarilla Apache Nation and International
  Indigenous Youth Council. I defended the water for several weeks in
  Standing Rock, ND and recently completed a lengthy art project for
  Honor the Earth. Any support to help me as I recover this period is
  greatly appreciated. Please help me get back on my feet so I can help
  my brothers and sisters to protect this land and help our native
  communities. Thank you, Kris.",932,of $2k goal,https://fundrazr.com/51L9Q5,Help get Kris back on her feet.,13,,U.S. Dollar
